Effective Date,Anticipated End Date,End Date,start,end,Location
2/5/2015,4/5/2015,,320,379,Conakry - Guinea
2/7/2015,3/14/2015,,322,357,Conakry - Guinea
2/8/2015,4/8/2015,,323,382,Conakry - Guinea
2/8/2015,3/18/2015,,323,361,Gueckedou - Guinea
2/8/2015,3/8/2015,,323,351,Conakry - Guinea
2/10/2015,4/10/2015,,325,384,Conakry - Guinea
2/11/2015,4/5/2015,,326,379,Gueckedou - Guinea
2/13/2015,5/12/2015,,328,416,Conakry - Guinea
2/13/2015,4/14/2015,,328,388,Gueckedou - Guinea
2/15/2015,4/15/2015,,330,389,Conakry - Guinea
2/16/2015,5/16/2015,,331,420,Gueckedou - Guinea
2/16/2015,4/16/2015,,331,390,Conakry - Guinea
2/17/2015,3/31/2015,,332,374,Conakry - Guinea
2/18/2015,3/2/2015,,333,345,Conakry - Guinea
2/18/2015,4/18/2015,,333,392,Conakry - Guinea
2/20/2015,3/4/2015,,335,347,Conakry - Guinea
2/21/2015,4/21/2015,,336,395,Conakry - Guinea
2/21/2015,4/21/2015,,336,395,Gueckedou - Guinea
2/22/2015,3/11/2015,,337,354,Conakry - Guinea
2/22/2015,4/22/2015,,337,396,Conakry - Guinea
2/22/2015,4/22/2015,,337,396,Conakry - Guinea
2/23/2015,5/23/2015,,338,427,Gueckedou - Guinea
2/23/2015,4/23/2015,,338,397,Gueckedou - Guinea
2/24/2015,5/24/2015,,339,428,Conakry - Guinea
2/24/2015,4/24/2015,,339,398,Conakry - Guinea
2/25/2015,4/25/2015,,340,399,Gueckedou - Guinea
6/27/2014,8/29/2014,8/29/2014,97,160,Monrovia - Liberia
6/29/2014,8/19/2014,8/24/2014,99,150,Monrovia - Liberia
7/1/2014,8/21/2014,8/21/2014,101,152,Monrovia - Liberia
7/1/2014,8/18/2014,8/18/2014,101,149,Monrovia - Liberia
7/7/2014,8/15/2014,8/15/2014,107,146,Monrovia - Liberia
7/7/2014,9/7/2014,7/27/2014,107,169,Monrovia - Liberia
7/9/2014,9/1/2014,9/2/2014,109,163,Monrovia - Liberia
7/14/2014,7/28/2014,7/28/2014,114,128,Monrovia - Liberia
7/25/2014,8/12/2014,8/12/2014,125,143,Monrovia - Liberia
7/26/2014,9/22/2014,9/22/2014,126,184,Monrovia - Liberia
7/27/2014,9/5/2014,9/3/2014,127,167,Monrovia - Liberia
7/29/2014,9/29/2014,8/28/2014,129,191,Monrovia - Liberia
8/1/2014,8/22/2014,9/28/2014,132,153,Monrovia - Liberia
8/4/2014,10/6/2014,10/6/2014,135,198,Foya - Liberia
8/4/2014,9/4/2014,10/6/2014,135,166,Monrovia - Liberia
8/6/2014,8/13/2014,8/13/2014,137,144,Monrovia - Liberia
8/7/2014,9/25/2014,9/25/2014,138,187,Monrovia - Liberia
8/8/2014,8/16/2014,8/29/2014,139,147,Monrovia - Liberia
8/8/2014,9/25/2014,9/25/2014,139,187,Monrovia - Liberia
8/11/2014,9/18/2014,9/18/2014,142,180,Monrovia - Liberia
8/12/2014,10/28/2014,10/28/2014,143,220,Monrovia - Liberia
8/13/2014,9/11/2014,8/28/2014,144,173,Monrovia - Liberia
8/13/2014,9/20/2014,9/22/2014,144,182,Monrovia - Liberia
8/13/2014,8/27/2014,8/28/2014,144,158,Monrovia - Liberia
8/13/2014,10/3/2014,10/3/2014,144,195,Monrovia - Liberia
8/13/2014,9/11/2014,9/20/2014,144,173,Monrovia - Liberia
8/13/2014,10/3/2014,10/3/2014,144,195,Monrovia - Liberia
8/15/2014,8/29/2014,8/31/2014,146,160,Monrovia - Liberia
8/18/2014,10/13/2014,10/13/2014,149,205,Monrovia - Liberia
8/18/2014,10/13/2014,10/13/2014,149,205,Monrovia - Liberia
8/18/2014,10/18/2014,11/10/2014,149,210,Monrovia - Liberia
8/18/2014,9/17/2014,10/10/2014,149,179,Monrovia - Liberia
8/18/2014,10/6/2014,10/6/2014,149,198,Monrovia - Liberia
8/18/2014,10/10/2014,10/10/2014,149,202,Monrovia - Liberia
8/18/2014,10/3/2014,10/3/2014,149,195,Monrovia - Liberia
8/18/2014,9/22/2014,9/22/2014,149,184,Monrovia - Liberia
8/20/2014,10/3/2014,10/3/2014,151,195,Monrovia - Liberia
8/20/2014,10/19/2014,10/13/2014,151,211,Monrovia - Liberia
8/21/2014,10/21/2014,10/21/2014,152,213,Monrovia - Liberia
8/22/2014,10/22/2014,9/20/2014,153,214,Monrovia - Liberia
8/22/2014,9/13/2014,9/13/2014,153,175,Monrovia - Liberia
8/25/2014,9/14/2014,9/14/2014,156,176,Monrovia - Liberia
8/25/2014,10/1/2014,10/19/2014,156,193,Monrovia - Liberia
8/25/2014,9/16/2014,9/16/2014,156,178,Monrovia - Liberia
8/25/2014,10/10/2014,10/10/2014,156,202,Monrovia - Liberia
8/25/2014,11/7/2014,11/7/2014,156,230,Monrovia - Liberia
8/25/2014,10/4/2014,10/25/2014,156,196,Monrovia - Liberia
8/25/2014,10/25/2014,10/28/2014,156,217,Monrovia - Liberia
8/25/2014,12/1/2014,12/5/2014,156,254,Monrovia - Liberia
8/26/2014,11/28/2014,11/28/2014,157,251,Monrovia - Liberia
8/26/2014,10/7/2014,10/7/2014,157,199,Monrovia - Liberia
8/26/2014,9/23/2014,9/27/2014,157,185,Monrovia - Liberia
8/27/2014,10/27/2014,11/15/2014,158,219,Monrovia - Liberia
8/27/2014,11/2/2014,11/2/2014,158,225,Monrovia - Liberia
8/27/2014,11/16/2014,11/16/2014,158,239,Monrovia - Liberia
8/28/2014,9/20/2014,9/30/2014,159,182,Monrovia - Liberia
8/28/2014,10/1/2014,10/26/2014,159,193,Monrovia - Liberia
8/28/2014,11/4/2014,11/4/2014,159,227,Monrovia - Liberia
8/28/2014,9/19/2014,9/19/2014,159,181,Monrovia - Liberia
8/29/2014,11/5/2014,11/5/2014,160,228,Monrovia - Liberia
8/29/2014,10/5/2014,10/27/2014,160,197,Monrovia - Liberia
8/30/2014,10/30/2014,9/24/2014,161,222,Monrovia - Liberia
9/1/2014,11/15/2014,11/15/2014,163,238,Monrovia - Liberia
9/1/2014,11/1/2014,10/12/2014,163,224,Monrovia - Liberia
9/1/2014,10/31/2014,11/17/2014,163,223,Monrovia - Liberia
9/1/2014,10/6/2014,10/25/2014,163,198,Monrovia - Liberia
9/1/2014,11/1/2014,11/17/2014,163,224,Monrovia - Liberia
9/1/2014,10/2/2014,9/22/2014,163,194,Monrovia - Liberia
9/2/2014,10/24/2014,10/24/2014,164,216,Monrovia - Liberia
9/2/2014,10/24/2014,10/24/2014,164,216,Monrovia - Liberia
9/2/2014,11/1/2014,11/1/2014,164,224,Monrovia - Liberia
9/2/2014,10/1/2014,10/20/2014,164,193,Monrovia - Liberia
9/3/2014,10/3/2014,10/4/2014,165,195,Monrovia - Liberia
9/3/2014,9/3/2014,9/3/2014,165,165,Monrovia - Liberia
9/5/2014,11/8/2014,12/12/2014,167,231,Monrovia - Liberia
9/6/2014,10/4/2014,10/17/2014,168,196,Monrovia - Liberia
9/8/2014,11/4/2014,10/13/2014,170,227,Monrovia - Liberia
9/8/2014,10/14/2014,10/14/2014,170,206,Monrovia - Liberia
9/8/2014,11/8/2014,11/8/2014,170,231,Monrovia - Liberia
9/8/2014,10/8/2014,10/27/2014,170,200,Monrovia - Liberia
9/9/2014,10/20/2014,10/20/2014,171,212,Monrovia - Liberia
9/10/2014,10/5/2014,10/25/2014,172,197,Monrovia - Liberia
9/10/2014,11/13/2014,12/10/2014,172,236,Monrovia - Liberia
9/12/2014,10/27/2014,11/16/2014,174,219,Monrovia - Liberia
9/13/2014,9/29/2014,9/30/2014,175,191,Monrovia - Liberia
9/14/2014,11/13/2014,11/13/2014,176,236,Monrovia - Liberia
9/14/2014,11/3/2014,11/3/2014,176,226,Monrovia - Liberia
9/15/2014,11/15/2014,11/15/2014,177,238,Monrovia - Liberia
9/15/2014,10/9/2014,10/27/2014,177,201,Monrovia - Liberia
9/15/2014,10/20/2014,11/7/2014,177,212,Monrovia - Liberia
9/15/2014,9/26/2014,9/26/2014,177,188,Monrovia - Liberia
9/16/2014,10/21/2014,11/15/2014,178,213,Monrovia - Liberia
9/17/2014,10/21/2014,11/10/2014,179,213,Monrovia - Liberia
9/17/2014,9/29/2014,9/30/2014,179,191,Monrovia - Liberia
9/17/2014,11/3/2014,11/3/2014,179,226,Monrovia - Liberia
9/20/2014,10/20/2014,11/3/2014,182,212,Monrovia - Liberia
9/21/2014,11/3/2014,11/3/2014,183,226,Monrovia - Liberia
9/21/2014,11/15/2014,11/15/2014,183,238,Monrovia - Liberia
9/22/2014,11/3/2014,12/6/2014,184,226,Monrovia - Liberia
9/22/2014,11/21/2014,11/21/2014,184,244,Monrovia - Liberia
9/22/2014,10/27/2014,11/16/2014,184,219,Monrovia - Liberia
9/22/2014,10/22/2014,10/20/2014,184,214,Monrovia - Liberia
9/23/2014,11/2/2014,12/6/2014,185,225,Monrovia - Liberia
9/24/2014,10/16/2014,10/16/2014,186,208,Monrovia - Liberia
9/24/2014,10/28/2014,10/28/2014,186,220,Monrovia - Liberia
9/24/2014,10/15/2014,10/18/2014,186,207,Monrovia - Liberia
9/25/2014,11/4/2014,12/11/2014,187,227,Monrovia - Liberia
9/25/2014,10/27/2014,11/16/2014,187,219,Monrovia - Liberia
9/25/2014,11/3/2014,11/21/2014,187,226,Monrovia - Liberia
9/26/2014,11/22/2014,11/22/2014,188,245,Monrovia - Liberia
9/26/2014,11/21/2014,11/21/2014,188,244,Monrovia - Liberia
9/26/2014,10/25/2014,11/15/2014,188,217,Monrovia - Liberia
9/26/2014,11/3/2014,11/28/2014,188,226,Monrovia - Liberia
9/27/2014,11/27/2014,11/9/2014,189,250,Monrovia - Liberia
9/28/2014,11/9/2014,11/30/2014,190,232,Monrovia - Liberia
9/29/2014,11/10/2014,12/6/2014,191,233,Monrovia - Liberia
9/29/2014,11/3/2014,11/28/2014,191,226,Monrovia - Liberia
9/29/2014,12/5/2014,12/5/2014,191,258,Monrovia - Liberia
9/29/2014,12/22/2014,12/22/2014,191,275,Monrovia - Liberia
9/30/2014,11/21/2014,11/21/2014,192,244,Monrovia - Liberia
10/1/2014,10/17/2014,10/18/2014,193,209,Monrovia - Liberia
10/1/2014,11/3/2014,12/12/2014,193,226,Monrovia - Liberia
10/1/2014,11/1/2014,11/21/2014,193,224,Monrovia - Liberia
10/3/2014,11/17/2014,12/15/2014,195,240,Monrovia - Liberia
10/3/2014,11/10/2014,10/7/2014,195,233,Monrovia - Liberia
10/3/2014,11/12/2014,10/11/2014,195,235,Monrovia - Liberia
10/5/2014,11/16/2014,11/16/2014,197,239,Monrovia - Liberia
10/5/2014,11/12/2014,12/6/2014,197,235,Monrovia - Liberia
10/5/2014,12/11/2014,12/26/2014,197,264,Monrovia - Liberia
10/7/2014,11/16/2014,12/8/2014,199,239,Monrovia - Liberia
10/8/2014,10/31/2014,11/3/2014,200,223,Monrovia - Liberia
10/10/2014,12/6/2014,12/6/2014,202,259,Monrovia - Liberia
10/11/2014,11/3/2014,11/9/2014,203,226,Monrovia - Liberia
10/12/2014,11/14/2014,11/18/2014,204,237,Monrovia - Liberia
10/12/2014,11/15/2014,11/16/2014,204,238,Monrovia - Liberia
10/12/2014,11/29/2014,12/7/2014,204,252,Monrovia - Liberia
10/13/2014,11/5/2014,11/1/2014,205,228,Monrovia - Liberia
10/13/2014,11/24/2014,11/17/2014,205,247,Monrovia - Liberia
10/13/2014,11/4/2014,11/8/2014,205,227,Monrovia - Liberia
10/14/2014,11/5/2014,11/8/2014,206,228,Monrovia - Liberia
10/14/2014,11/4/2014,11/17/2014,206,227,Monrovia - Liberia
10/15/2014,12/15/2014,12/3/2014,207,268,Monrovia - Liberia
10/16/2014,11/3/2014,12/15/2014,208,226,Monrovia - Liberia
10/16/2014,11/25/2014,12/12/2014,208,248,Monrovia - Liberia
10/16/2014,11/27/2014,12/15/2014,208,250,Monrovia - Liberia
10/17/2014,1/7/2015,1/23/2015,209,291,Monrovia - Liberia
10/19/2014,12/20/2014,12/20/2014,211,273,Monrovia - Liberia
10/19/2014,1/3/2015,1/3/2015,211,287,Monrovia - Liberia
10/20/2014,12/1/2014,12/18/2014,212,254,Monrovia - Liberia
10/20/2014,12/18/2014,12/24/2014,212,271,Monrovia - Liberia
10/20/2014,12/1/2014,12/19/2014,212,254,Monrovia - Liberia
10/20/2014,12/18/2014,12/18/2014,212,271,Monrovia - Liberia
10/20/2014,11/25/2014,12/15/2014,212,248,Monrovia - Liberia
10/20/2014,11/30/2014,10/26/2014,212,253,Monrovia - Liberia
10/21/2014,12/19/2014,12/19/2014,213,272,Monrovia - Liberia
10/21/2014,11/25/2014,12/14/2014,213,248,Monrovia - Liberia
10/21/2014,12/1/2014,12/15/2014,213,254,Monrovia - Liberia
10/21/2014,11/25/2014,12/15/2014,213,248,Monrovia - Liberia
10/21/2014,11/27/2014,12/15/2014,213,250,Monrovia - Liberia
10/22/2014,12/15/2014,12/15/2014,214,268,Monrovia - Liberia
10/23/2014,12/4/2014,12/25/2014,215,257,Monrovia - Liberia
10/23/2014,12/6/2014,12/9/2014,215,259,Monrovia - Liberia
10/24/2014,12/1/2014,12/20/2014,216,254,Monrovia - Liberia
10/26/2014,12/1/2014,12/19/2014,218,254,Monrovia - Liberia
10/26/2014,12/8/2014,1/2/2015,218,261,Monrovia - Liberia
10/29/2014,12/10/2014,12/6/2014,221,263,Monrovia - Liberia
10/29/2014,1/2/2015,1/27/2015,221,286,Monrovia - Liberia
10/30/2014,11/23/2014,11/25/2014,222,246,Monrovia - Liberia
10/31/2014,12/5/2014,12/26/2014,223,258,Monrovia - Liberia
11/1/2014,1/1/2015,1/5/2015,224,285,Monrovia - Liberia
11/3/2014,1/1/2015,1/27/2015,226,285,Monrovia - Liberia
11/5/2014,11/26/2014,11/29/2014,228,249,Monrovia - Liberia
11/6/2014,12/22/2014,12/22/2014,229,275,Monrovia - Liberia
11/7/2014,1/27/2015,1/27/2015,230,311,Monrovia - Liberia
11/8/2014,11/22/2014,11/22/2014,231,245,Monrovia - Liberia
11/10/2014,1/2/2015,11/28/2014,233,286,Monrovia - Liberia
11/11/2014,12/16/2014,1/5/2015,234,269,Monrovia - Liberia
11/11/2014,12/21/2014,12/23/2014,234,274,Monrovia - Liberia
11/11/2014,1/2/2015,1/12/2015,234,286,Monrovia - Liberia
11/12/2014,12/8/2014,12/9/2014,235,261,Monrovia - Liberia
11/14/2014,12/5/2014,12/4/2014,237,258,Monrovia - Liberia
11/15/2014,1/2/2015,1/12/2015,238,286,Monrovia - Liberia
11/17/2014,1/2/2015,1/15/2015,240,286,Monrovia - Liberia
11/17/2014,1/2/2015,1/12/2015,240,286,Monrovia - Liberia
11/17/2014,1/2/2015,1/15/2015,240,286,Monrovia - Liberia
11/17/2014,1/2/2015,1/12/2015,240,286,Monrovia - Liberia
11/17/2014,1/5/2015,1/6/2015,240,289,Monrovia - Liberia
11/17/2014,1/2/2015,1/12/2015,240,286,Monrovia - Liberia
11/17/2014,12/4/2014,12/26/2014,240,257,Monrovia - Liberia
11/17/2014,1/2/2015,1/23/2015,240,286,Monrovia - Liberia
11/18/2014,2/23/2015,2/23/2015,241,338,Monrovia - Liberia
11/19/2014,1/12/2015,1/12/2015,242,296,Monrovia - Liberia
11/20/2014,1/30/2015,1/30/2015,243,314,Monrovia - Liberia
11/20/2014,1/22/2015,2/13/2015,243,306,Monrovia - Liberia
11/21/2014,1/9/2015,1/9/2015,244,293,Monrovia - Liberia
11/21/2014,1/23/2015,2/13/2015,244,307,Monrovia - Liberia
11/21/2014,1/1/2015,1/19/2015,244,285,Monrovia - Liberia
11/22/2014,1/3/2015,12/4/2014,245,287,Monrovia - Liberia
11/24/2014,1/24/2015,12/18/2014,247,308,Monrovia - Liberia
11/26/2014,1/19/2015,2/3/2015,249,303,Monrovia - Liberia
11/28/2014,12/23/2014,12/23/2014,251,276,Monrovia - Liberia
11/28/2014,1/5/2015,1/27/2015,251,289,Monrovia - Liberia
11/30/2014,1/12/2015,2/2/2015,253,296,Monrovia - Liberia
11/30/2014,1/18/2015,12/17/2014,253,302,Monrovia - Liberia
12/1/2014,1/27/2015,1/27/2015,254,311,Monrovia - Liberia
12/1/2014,12/16/2014,12/16/2014,254,269,Monrovia - Liberia
12/3/2014,2/2/2015,2/16/2015,256,317,Monrovia - Liberia
12/4/2014,1/9/2015,1/30/2015,257,293,Monrovia - Liberia
12/4/2014,1/2/2015,1/21/2015,257,286,Monrovia - Liberia
12/4/2014,1/3/2015,1/27/2015,257,287,Monrovia - Liberia
12/5/2014,1/6/2015,1/6/2015,258,290,Monrovia - Liberia
12/5/2014,2/4/2015,2/4/2015,258,319,Monrovia - Liberia
12/5/2014,1/3/2015,2/2/2015,258,287,Monrovia - Liberia
12/5/2014,2/2/2015,2/13/2015,258,317,Monrovia - Liberia
12/5/2014,2/3/2015,2/3/2015,258,318,Monrovia - Liberia
12/12/2014,12/23/2014,12/23/2014,265,276,Monrovia - Liberia
12/12/2014,1/26/2015,2/13/2015,265,310,Monrovia - Liberia
12/12/2014,1/26/2015,2/9/2015,265,310,Monrovia - Liberia
12/13/2014,1/22/2015,2/9/2015,266,306,Monrovia - Liberia
12/15/2014,2/13/2015,1/27/2015,268,328,Monrovia - Liberia
12/15/2014,2/1/2015,2/16/2015,268,316,Monrovia - Liberia
12/15/2014,3/3/2015,,268,346,Monrovia - Liberia
12/16/2014,2/16/2015,3/6/2015,269,331,Monrovia - Liberia
12/16/2014,1/27/2015,2/14/2015,269,311,Monrovia - Liberia
12/16/2014,3/3/2015,,269,346,Monrovia - Liberia
12/17/2014,2/13/2015,2/13/2015,270,328,Monrovia - Liberia
12/17/2014,3/9/2015,3/9/2015,270,352,Monrovia - Liberia
12/17/2014,3/9/2015,3/9/2015,270,352,Monrovia - Liberia
12/17/2014,3/23/2015,3/23/2015,270,366,Monrovia - Liberia
12/17/2014,1/30/2015,12/31/2014,270,314,Monrovia - Liberia
12/18/2014,1/18/2015,2/6/2015,271,302,Monrovia - Liberia
12/18/2014,3/2/2015,,271,345,Monrovia - Liberia
12/19/2014,1/24/2015,2/18/2015,272,308,Monrovia - Liberia
12/19/2014,1/9/2015,1/9/2015,272,293,Monrovia - Liberia
12/19/2014,1/23/2015,2/6/2015,272,307,Monrovia - Liberia
12/24/2014,2/9/2015,3/2/2015,277,324,Monrovia - Liberia
12/25/2014,2/1/2015,2/20/2015,278,316,Monrovia - Liberia
12/26/2014,2/6/2015,2/6/2015,279,321,Monrovia - Liberia
12/26/2014,2/10/2015,2/10/2015,279,325,Monrovia - Liberia
12/29/2014,3/3/2015,,282,346,Monrovia - Liberia
12/29/2014,2/28/2015,2/23/2015,282,343,Monrovia - Liberia
12/29/2014,3/3/2015,,282,346,Monrovia - Liberia
12/29/2014,2/16/2015,2/16/2015,282,331,Monrovia - Liberia
1/1/2015,2/1/2015,2/20/2015,285,316,Monrovia - Liberia
1/1/2015,2/10/2015,3/2/2015,285,325,Monrovia - Liberia
1/3/2015,3/6/2015,2/10/2015,287,349,Monrovia - Liberia
1/3/2015,3/4/2015,,287,347,Monrovia - Liberia
1/5/2015,2/16/2015,3/9/2015,289,331,Monrovia - Liberia
1/5/2015,3/4/2015,3/4/2015,289,347,Monrovia - Liberia
1/7/2015,3/7/2015,,291,350,Monrovia - Liberia
1/9/2015,2/18/2015,,293,333,Monrovia - Liberia
1/9/2015,2/6/2015,2/6/2015,293,321,Monrovia - Liberia
1/12/2015,3/2/2015,,296,345,Monrovia - Liberia
1/12/2015,4/15/2015,,296,389,Monrovia - Liberia
1/12/2015,2/27/2015,3/9/2015,296,342,Monrovia - Liberia
1/12/2015,3/25/2015,,296,368,Monrovia - Liberia
1/14/2015,3/15/2015,,298,358,Monrovia - Liberia
1/14/2015,2/28/2015,,298,343,Monrovia - Liberia
1/15/2015,3/3/2015,,299,346,Monrovia - Liberia
1/19/2015,3/18/2015,,303,361,Monrovia - Liberia
1/19/2015,3/18/2015,,303,361,Monrovia - Liberia
1/20/2015,3/19/2015,,304,362,Monrovia - Liberia
1/20/2015,3/18/2015,,304,361,Monrovia - Liberia
1/23/2015,3/16/2015,,307,359,Monrovia - Liberia
1/26/2015,4/10/2015,,310,384,Monrovia - Liberia
1/26/2015,4/25/2015,,310,399,Monrovia - Liberia
1/26/2015,2/15/2015,2/15/2015,310,330,Monrovia - Liberia
1/27/2015,3/10/2015,,311,353,Monrovia - Liberia
1/28/2015,4/10/2015,,312,384,Monrovia - Liberia
1/29/2015,3/27/2015,,313,370,Monrovia - Liberia
2/1/2015,4/14/2015,,316,388,Monrovia - Liberia
2/2/2015,4/7/2015,,317,381,Monrovia - Liberia
2/6/2015,3/29/2015,,321,372,Monrovia - Liberia
2/6/2015,4/6/2015,,321,380,Monrovia - Liberia
2/17/2015,4/17/2015,,332,391,Monrovia - Liberia
2/18/2015,4/30/2015,,333,404,Monrovia - Liberia
2/20/2015,4/16/2015,,335,390,Monrovia - Liberia
2/23/2015,4/23/2015,,338,397,Monrovia - Liberia
5/1/2014,6/10/2014,6/10/2014,40,80,Bo - Sierra Leone
5/1/2014,9/17/2014,9/17/2014,40,179,Bo - Sierra Leone
5/5/2014,2/7/2015,10/27/2014,44,322,Bo - Sierra Leone
5/6/2014,2/6/2015,8/10/2014,45,321,Bo - Sierra Leone
5/7/2014,11/7/2014,11/7/2014,46,230,Bo - Sierra Leone
5/9/2014,2/9/2015,10/15/2014,48,324,Bo - Sierra Leone
5/13/2014,2/13/2015,10/27/2014,52,328,Bo - Sierra Leone
5/28/2014,7/15/2014,7/15/2014,67,115,Kailahun - Sierra Leone
6/2/2014,9/23/2014,9/23/2014,72,185,Bo - Sierra Leone
6/3/2014,7/12/2014,7/12/2014,73,112,Kailahun - Sierra Leone
6/3/2014,7/20/2014,7/20/2014,73,120,Kailahun - Sierra Leone
6/6/2014,8/7/2014,8/7/2014,76,138,Kailahun - Sierra Leone
6/6/2014,3/5/2015,7/17/2014,76,348,Bo - Sierra Leone
6/8/2014,7/25/2014,6/30/2014,78,125,Kailahun - Sierra Leone
6/9/2014,8/13/2014,8/13/2014,79,144,Freetown - Sierra Leone
6/9/2014,7/24/2014,7/24/2014,79,124,Kailahun - Sierra Leone
6/11/2014,7/15/2014,7/15/2014,81,115,Kailahun - Sierra Leone
6/14/2014,8/20/2014,8/20/2014,84,151,Kailahun - Sierra Leone
6/16/2014,8/5/2014,8/5/2014,86,136,Bo - Sierra Leone
6/17/2014,3/17/2015,11/9/2014,87,360,Bo - Sierra Leone
6/18/2014,7/20/2014,8/9/2014,88,120,Kailahun - Sierra Leone
6/18/2014,7/7/2014,7/8/2014,88,107,Bo - Sierra Leone
6/20/2014,7/15/2014,7/15/2014,90,115,Bo - Sierra Leone
6/21/2014,7/25/2014,7/25/2014,91,125,Kailahun - Sierra Leone
6/23/2014,8/18/2014,8/18/2014,93,149,Kailahun - Sierra Leone
6/25/2014,8/18/2014,8/18/2014,95,149,Kailahun - Sierra Leone
6/30/2014,7/30/2014,7/30/2014,100,130,Kailahun - Sierra Leone
6/30/2014,8/20/2014,8/20/2014,100,151,Kailahun - Sierra Leone
6/30/2014,9/7/2014,9/7/2014,100,169,Bo - Sierra Leone
6/30/2014,3/30/2015,11/2/2014,100,373,Bo - Sierra Leone
6/30/2014,9/2/2014,9/2/2014,100,164,Kailahun - Sierra Leone
7/1/2014,7/25/2014,7/25/2014,101,125,Kailahun - Sierra Leone
7/1/2014,1/20/2015,11/2/2014,101,304,Bo - Sierra Leone
7/1/2014,7/30/2014,7/4/2014,101,130,Kailahun - Sierra Leone
7/7/2014,9/7/2014,9/7/2014,107,169,Bo - Sierra Leone
7/10/2014,9/15/2014,9/15/2014,110,177,Freetown - Sierra Leone
7/10/2014,9/23/2014,9/15/2014,110,185,Kailahun - Sierra Leone
7/11/2014,9/27/2014,9/27/2014,111,189,Kailahun - Sierra Leone
7/11/2014,9/26/2014,9/26/2014,111,188,Bo - Sierra Leone
7/14/2014,9/15/2014,9/7/2014,114,177,Kailahun - Sierra Leone
7/16/2014,9/6/2014,9/6/2014,116,168,Kailahun - Sierra Leone
7/17/2014,10/16/2014,10/16/2014,117,208,Kailahun - Sierra Leone
7/19/2014,10/8/2014,10/8/2014,119,200,Kailahun - Sierra Leone
7/21/2014,9/8/2014,9/8/2014,121,170,Bo - Sierra Leone
7/21/2014,9/17/2014,9/15/2014,121,179,Kailahun - Sierra Leone
7/21/2014,10/8/2014,10/8/2014,121,200,Kailahun - Sierra Leone
7/21/2014,9/21/2014,9/15/2014,121,183,Kailahun - Sierra Leone
7/21/2014,9/17/2014,9/15/2014,121,179,Kailahun - Sierra Leone
7/22/2014,9/15/2014,9/15/2014,122,177,Bo - Sierra Leone
7/23/2014,9/17/2014,9/28/2014,123,179,Bo - Sierra Leone
7/23/2014,8/2/2014,8/7/2014,123,133,Bo - Sierra Leone
7/25/2014,10/21/2014,10/21/2014,125,213,Kailahun - Sierra Leone
7/28/2014,9/28/2014,9/28/2014,128,190,Kailahun - Sierra Leone
7/28/2014,8/20/2014,8/21/2014,128,151,Bo - Sierra Leone
7/29/2014,9/26/2014,9/26/2014,129,188,Kailahun - Sierra Leone
7/30/2014,9/15/2014,9/15/2014,130,177,Kailahun - Sierra Leone
8/1/2014,8/23/2014,8/23/2014,132,154,Kailahun - Sierra Leone
8/1/2014,8/22/2014,9/4/2014,132,153,Kenema - Sierra Leone
8/4/2014,11/2/2014,11/2/2014,135,225,Bo - Sierra Leone
8/4/2014,9/5/2014,9/5/2014,135,167,Kailahun - Sierra Leone
8/4/2014,8/21/2014,8/21/2014,135,152,Freetown - Sierra Leone
8/4/2014,10/19/2014,10/19/2014,135,211,Kailahun - Sierra Leone
8/5/2014,10/8/2014,10/8/2014,136,200,Kailahun - Sierra Leone
8/6/2014,8/27/2014,8/29/2014,137,158,Freetown - Sierra Leone
8/6/2014,8/22/2014,8/22/2014,137,153,Kailahun - Sierra Leone
8/7/2014,10/7/2014,8/31/2014,138,199,Freetown - Sierra Leone
8/8/2014,9/13/2014,9/13/2014,139,175,Kailahun - Sierra Leone
8/9/2014,10/8/2014,10/8/2014,140,200,Kailahun - Sierra Leone
8/11/2014,9/15/2014,9/22/2014,142,177,Kailahun - Sierra Leone
8/11/2014,2/6/2015,11/23/2014,142,321,Bo - Sierra Leone
8/11/2014,9/20/2014,9/20/2014,142,182,Freetown - Sierra Leone
8/13/2014,10/12/2014,9/6/2014,144,204,Bo - Sierra Leone
8/13/2014,11/3/2014,11/3/2014,144,226,Freetown - Sierra Leone
8/14/2014,10/19/2014,10/19/2014,145,211,Bo - Sierra Leone
8/14/2014,10/26/2014,10/26/2014,145,218,Bo - Sierra Leone
8/17/2014,10/19/2014,10/19/2014,148,211,Kailahun - Sierra Leone
8/18/2014,10/26/2014,10/26/2014,149,218,Bo - Sierra Leone
8/18/2014,11/24/2014,11/24/2014,149,247,Kailahun - Sierra Leone
8/18/2014,10/26/2014,10/26/2014,149,218,Bo - Sierra Leone
8/18/2014,10/20/2014,10/20/2014,149,212,Bo - Sierra Leone
8/18/2014,2/17/2015,11/24/2014,149,332,Bo - Sierra Leone
8/24/2014,9/20/2014,9/20/2014,155,182,Freetown - Sierra Leone
8/24/2014,12/17/2014,12/17/2014,155,270,Bo - Sierra Leone
8/24/2014,2/24/2015,11/24/2014,155,339,Bo - Sierra Leone
8/26/2014,11/26/2014,11/26/2014,157,249,Bo - Sierra Leone
8/27/2014,11/10/2014,11/10/2014,158,233,Bo - Sierra Leone
8/28/2014,10/24/2014,10/24/2014,159,216,Bo - Sierra Leone
8/28/2014,10/18/2014,10/18/2014,159,210,Kailahun - Sierra Leone
8/29/2014,11/29/2014,11/29/2014,160,252,Kailahun - Sierra Leone
